            1.5298252004767923 1.036085783381745 1.8476576778558365 0.3073351811229435 0.08144150676843363 0.317942813380937          1.862070627442948 1.3006247093647687 2.27132817007934 1.7283802642462252 1.1128280747677153 2.0556470178090085 0.803325896911836 -0.009837344474256271 0.803386127584682    1.808764150017609 1.22560921033132 2.184890314601144 1.6341456137750938 0.9972489539872516 1.914402612631169 0.6973568802 0.16106127360000003 0.7157145745448609 0.21474836480000006 0.009069926399999994 0.21493981424848985       1.9179581155069132 1.3780099364657692 2.361667783122178 1.8373465819543588 1.2602657205922654 2.228028758503648 1.2421582249412035 0.46067964165173003 1.3248331170458596 0.6142395222023067 -0.2291601064934043 0.6555948024835054 -1.1775787776000002 0.006599805899999589 1.1775972719447971    1.918177799704628 1.3786611090654088 2.362226179883957 1.838214812087211 1.2628082299419923 2.2301834724941463 1.2618473016110252 0.5127905914330884 1.362061967476268 0.6837207885774511 -0.06900476396432675 0.6871941313651799 -0.6579409774000002 -0.06410343750000017 0.6610564124500904 
            1.5031649555210247 1.010676955622107 1.8113455750165661 0.2615040530410013 0.06235281191346248 0.26883497337657997          1.8412735445988373 1.2707157386628876 2.2371872417223226 1.688280254321055 1.0571247283973635 1.991934463911794 0.6575368542713299 -0.14827151570476074 0.6740468508155967    1.790676508517433 1.2010970261246936 2.156190256986096 1.601462701499592 0.9573589958277615 1.8658025166631949 0.62762119218 0.12884901888000003 0.6407108790552749 0.17179869184000005 0.005441955839999997 0.17188486088454621       1.904515469213127 1.358262543139117 2.3392426784254 1.8110167241854893 1.2224067626713564 2.1849622121913703 1.131527604869206 0.3298837623798617 1.178633962374636 0.43984501650648233 -0.3755987433530972 0.578392647389309 -1.0329512428800003 0.3813850827299997 1.1011098271727058    1.9047942905973316 1.3590870135027906 2.3399484609204806 1.8121160180037201 1.225610268566112 2.187666563514732 1.1559663263828126 0.3928831653605559 1.2209075842809336 0.5238442204807411 -0.19308955896223162 0.5582977208544778 -0.5877287319800002 0.04320740624999991 0.589314807509256 
            1.4778243442943815 0.9866192081875171 1.7769024324800957 0.22262552606889563 0.047744466145230785 0.22768763450162507          1.8196672571933792 1.2398211925056417 2.201895891337233 1.646883926720043 1.0003336183250207 1.9268871311107083 0.5159271262183786 -0.2681552029003775 0.5814533621972594    1.7727697434322587 1.1770750856021996 2.1279610711604433 1.5694334474696001 0.919064635994651 1.818736141162949 0.564859072962 0.10307921510400002 0.5741873360619745 0.13743895347200002 0.003265173503999998 0.13747773379529432       1.8905125720795062 1.337773364058852 2.3159610011345197 1.7836978187451358 1.183444073491853 2.1405881863822254 1.020644770755716 0.20556979578758305 1.0411410514484274 0.2740930610501108 -0.4923695667926969 0.5635200053409354 -0.7994913373440005 0.6424148153309999 1.0256135692573791    1.8908577216192748 1.338791301660554 2.316830825245813 1.7850550688807378 1.187378454099059 2.143895797886522 1.0501725951658754 0.27950696710951617 1.086732084876576 0.37267595614602145 -0.29207890030194056 0.47349493375425067 -0.4727860624460002 0.10968351562499999 0.48534228585922 
            1.4536498646648441 0.9637561643999011 1.744111198708078 0.18959945772467807 0.03656143885269548 0.1930924472382889          1.7973627495196158 1.2081297242780356 2.1656616273196594 1.6044428677111409 0.9429070371590318 1.86099720485367 0.38029794808814327 -0.3675405399622555 0.5288786040631616    1.7550420459979361 1.1535335838901557 2.10019339880476 1.538044778520208 0.882302050554865 1.7731437192587056 0.5083731656658 0.08246337208320001 0.5150179446430961 0.10995116277760002 0.0019591041023999988 0.10996861500005506       1.876019452087168 1.3166575561584957 2.291950284102755 1.7555434082113273 1.1436438769363324 2.0951978368087842 0.9106437723460179 0.08957582993878056 0.9150387474975075 0.11943443991837413 -0.5777685252166287 0.5899839439930665 -0.5094282886272006 0.7488586116057001 0.9057076798998975    1.8764378883863826 1.3178881698229044 2.2929998641803513 1.7571842264305382 1.1483732345201834 2.099156376113661 0.9455144484311424 0.1741457733064109 0.9614178709346604 0.23219436440854774 -0.3655265778420126 0.43304030063261123 -0.3335533205742002 0.13428008906250005 0.3595677404672284 
            1.4305158881815323 0.9419598848601538 1.712794246553144 0.16151714048496094 0.027999030577200976 0.16392599666831872          1.7744625896251902 1.1758155538149444 2.1286755738187253 1.5611900637735565 0.885261006413565 1.7947148700285622 0.2521920238235459 -0.44533254273036416 0.5117830502223648    1.7374916255379567 1.1304629122123526 2.072878082450139 1.5072838829498039 0.8470099685326704 1.728968071016337 0.45753584909922 0.06597069766656001 0.46226744008372134 0.08796093022208001 0.0011754624614399992 0.08796878399484606       1.8610996246419764 1.295020013935858 2.2673263217580604 1.7266933519144771 1.1032491245286187 2.0490555293399972 0.8025364360538294 -0.01661025592391728 0.8027083105311917 -0.022147007898556337 -0.6315168467895023 0.6319050701947361 -0.19742871591936056 0.6948863059317903 0.7223884523171016    1.861598020421626 1.2964813810930491 2.268570290107551 1.7286418414573979 1.10883106483943 2.0537061489877675 0.8429135533529186 0.07794500729355004 0.8465097061392948 0.10392667639139994 -0.41407051741279405 0.42691351285273427 -0.18881179501934015 0.12464167265625009 0.2262419954406633 
            1.4083180463164446 0.921124100802058 1.6828040077973927 0.13762154068132557 0.021442436375768523 0.13928196773893822          1.751060875878677 1.1430385927591566 2.09111248276362 1.517339575509716 0.8277746386119611 1.7284473494258275 0.13288652456163405 -0.5012405861424064 0.5185566059809217    1.720116709282577 1.1078536539681056 2.046006161321027 1.4771382052908077 0.8131295697913636 1.6861544931585708 0.41178226418929803 0.05277655813324801 0.41515057291211455 0.070368744177664 0.0007052774768639995 0.0703722784444336       1.845810680316662 1.2729561859076124 2.242194130491719 1.697274914543483 1.0624808508635617 2.002400482918026 0.6972144690303215 -0.111845528081867 0.7061284854593708 -0.14912737077582264 -0.6546296623335084 0.6714007503133973 0.10311377110963149 0.5073339696389135 0.5177066800245362    1.8463953811008882 1.274665122051453 2.2436459339042645 1.6995534960686032 1.0689659565461171 2.0077774533681683 0.7431696211997703 -0.008270566943638508 0.7432156404111657 -0.011027422591518135 -0.43925548474715437 0.43939388358222453 -0.05413739507351811 0.09296644664062512 0.10758074988737706 
            1.386968506761627 0.9011593866124121 1.6540162873527686 0.11727802707816037 0.016421467350150216 0.11842212726208633          1.7272435453971273 1.1099449685262452 2.0531312910461343 1.4730869820671326 0.7707904887567113 1.662559242340995 0.023394627864232298 -0.5357024380277381 0.5362130273704365    1.7029155421897513 1.0856965808887435 2.0195688672548213 1.4475954411849916 0.7806043869997091 1.6446506529785472 0.3706040377703682 0.042221246506598406 0.3730013223411835 0.056294995342131206 0.0004231664861183997 0.05629658577965051       1.8302048197435625 1.2505528283103762 2.2166488352031872 1.6674037710805012 1.0215394811615564 1.9554483494547479 0.5954525540188611 -0.1953203624623844 0.6266688025424769 -0.26042714994984584 -0.6492460098297735 0.699530329371702 0.3632906323247612 0.23707007304754169 0.43379984217342865    1.830881812970444 1.2525247911879969 2.218320663386264 1.6700330549173283 1.0289709556891244 1.9615788620823518 0.6469658253714705 -0.08397486093349166 0.6523929463654458 -0.11196648124465566 -0.44334433726481803 0.45726435932301845 0.05901586439049132 0.05220049910156261 0.07878936702505675 
            1.3663925189570623 0.8819896328491863 1.626325375905839 0.09995214698139751 0.012576324040767181 0.10074023829914872          1.7030888499303112 1.0766677300344243 2.0148759345563763 1.4286102036450854 0.7146154591094329 1.597373584468279 -0.07552677017327979 -0.5497908343360703 0.5549542814797989    1.6858863867678537 1.0639826492709687 1.9935576206969385 1.4186435323612918 0.7493802115197208 1.6044064863144454 0.33354363399333137 0.03377699720527873 0.3352495209805419 0.04503599627370496 0.0002538998916710398 0.045036711975011655       1.8143293404080294 1.2278887008162427 2.1907764872431956 1.6371849344216567 0.9806060905051052 1.908392730606819 0.4979123049683582 -0.2665413061556024 0.5647662625600417 -0.3553884082074698 -0.6184308821832213 0.7132725122463058 0.5611207441859019 -0.05358144849420132 0.5636731864994795    1.8151042334082044 1.2301377244902372 2.192679228558159 1.6401836326536487 0.9890195510985025 1.9152968493891496 0.5548747888305691 -0.1489151424258926 0.5745100094197598 -0.1985535232345236 -0.4291269769394161 0.4728355569603503 0.14363688552264975 0.013224236003906334 0.14424435968360705 
            1.3465258354615768 0.8635494156618302 1.5996404029829285 0.08519231297003513 0.009631585392495182 0.0857350431641423          1.6786678946340405 1.0433276210876623 1.9764762648206842 1.3840704892600846 0.6595220226822932 1.533173316244316 -0.16336474934442444 -0.5451104626534434 0.569063667635369    1.6690275229001752 1.0427029962855494 1.9679640267700924 1.3902706617140659 0.719405003058932 1.565374099456449 0.30018927059399825 0.02702159776422298 0.30140299422117256 0.03602879701896397 0.0001523399350026239 0.03602911908567157       1.7982270796656414 1.2050352086698901 2.164654818712884 1.6067136115598533 0.9398436145522787 1.8614066319282305 0.40514695777322196 -0.32530932935638657 0.5195865829283882 -0.433745772475182 -0.5659600320139954 0.7130541024195675 0.6830557704423382 -0.3044515281829298 0.7478341517659498    1.7991050851483426 1.2075738631466686 2.1667980391263035 1.6100984841955572 0.9492670143809112 1.8690973739750638 0.4673650184208611 -0.2030842872906876 0.5095814833644354 -0.2707790497209169 -0.39973496798199376 0.4828139790802751 0.19697001387611152 -0.01670399536523433 0.19767703414285973 
            1.32731275219966 0.8457819989904913 1.5738825661300742 0.07261602904125787 0.007376378453249479 0.07298971593866063          1.6540451856349128 1.0100338634141872 1.9380489883812075 1.3396134577335728 0.6057496395689704 1.4702029934600311 -0.23983461546861679 -0.5236911020909735 0.5759974072738849    1.6523372476711735 1.0218489363598384 1.9427798714165436 1.3624652484797846 0.6906288029365747 1.5275076748614678 0.2701703435345984 0.021617278211378384 0.27103380092318935 0.028823037615171177 9.140396100157433e-05 0.028823182545473       1.7819368179178268 1.182056995320833 2.1383539377843945 1.5760759937611104 0.8993980117365258 1.8146438553131268 0.31760667571986717 -0.37169436364996455 0.4889076604339279 -0.49559248486661933 -0.4960978655811322 0.7012310626964734 0.7244917170288971 -0.4693442942661995 0.8632336384801721    1.7829227457775785 1.1848963679338507 2.140745879396686 1.5798618239117999 0.9098516734244257 1.823127381804998 0.38480767257201237 -0.24669144902589343 0.4570925681880904 -0.32892193203452463 -0.35846844155933083 0.48650720546287884 0.21993951517126978 -0.03431295825058593 0.22260002119874037 
